fk_well,date,gwl
673,1990-11-26,161.18
673,1990-12-03,160.68
673,1990-12-10,160.41
673,1990-12-17,160.22
673,1990-12-24,160.26
673,1990-12-31,161.05
673,1991-01-07,161.38
673,1991-01-14,161.05
673,1991-01-21,160.67
673,1991-01-28,160.41
673,1991-02-04,160.21
673,1991-02-11,160.07
673,1991-02-18,159.99
673,1991-02-25,159.96
673,1991-03-04,160.02
673,1991-03-11,160.03
673,1991-03-18,159.95
673,1991-03-25,160.26
673,1991-04-01,160.24
673,1991-04-08,160.1
673,1991-04-15,159.96
673,1991-04-22,159.87
673,1991-04-29,159.81
673,1991-05-06,159.93
673,1991-05-13,159.9
673,1991-05-20,159.95
673,1991-05-27,159.89
673,1991-06-03,159.8
673,1991-06-10,159.73
673,1991-06-17,159.69
673,1991-06-24,159.78
673,1991-07-01,159.88
673,1991-07-08,159.83
673,1991-07-15,159.78
673,1991-07-22,159.74
673,1991-07-29,159.74
673,1991-08-05,159.73
673,1991-08-12,159.66
673,1991-08-19,159.56
673,1991-08-26,159.49
673,1991-09-02,159.44
673,1991-09-09,159.39
673,1991-09-16,159.39
673,1991-09-23,159.4
673,1991-09-30,159.59
673,1991-10-07,159.59
673,1991-10-14,159.6
673,1991-10-21,159.67
673,1991-10-28,159.77
673,1991-11-04,159.69
673,1991-11-11,160.01
673,1991-11-18,160.71
673,1991-11-25,160.57
673,1991-12-02,160.26
673,1991-12-09,160.07
673,1991-12-16,159.91
673,1991-12-23,161.07
673,1991-12-30,161.03
673,1992-01-06,160.56
673,1992-01-13,160.53
673,1992-01-20,160.4
673,1992-01-27,160.24
673,1992-02-03,160.11
673,1992-02-10,160.84
673,1992-02-17,160.98
673,1992-02-24,160.69
673,1992-03-02,160.47
673,1992-03-09,160.31
673,1992-03-16,160.37
673,1992-03-23,160.7
673,1992-03-30,161.1
673,1992-04-06,160.65
673,1992-04-13,160.56
673,1992-04-20,160.45
673,1992-04-27,160.29
673,1992-05-04,160.23
673,1992-05-11,160.13
673,1992-05-18,160.01
673,1992-05-25,159.89
673,1992-06-01,159.85
673,1992-06-08,159.87
673,1992-06-15,159.82
673,1992-06-22,159.74
673,1992-06-29,159.81
673,1992-07-06,159.73
673,1992-07-13,159.76
673,1992-07-20,159.76
673,1992-07-27,159.73
673,1992-08-03,159.63
673,1992-08-10,159.53
673,1992-08-17,159.5
673,1992-08-24,159.45
673,1992-08-31,159.43
673,1992-09-07,159.53
673,1992-09-14,159.5
673,1992-09-21,159.47
673,1992-09-28,159.42
673,1992-10-05,159.39
673,1992-10-12,159.38
673,1992-10-19,159.38
673,1992-10-26,159.46
673,1992-11-02,160.03
673,1992-11-09,160.01
673,1992-11-16,160.31
673,1992-11-23,160.74
673,1992-11-30,161.01
673,1992-12-07,160.94
673,1992-12-14,160.68
673,1992-12-21,160.48
673,1992-12-28,160.3
673,1993-01-04,160.13
673,1993-01-11,160.11
673,1993-01-18,160.3
673,1993-01-25,160.22
673,1993-02-01,160.55
673,1993-02-08,160.39
673,1993-02-15,160.21
673,1993-02-22,160.1
673,1993-03-01,160.03
673,1993-03-08,159.94
673,1993-03-15,159.9
673,1993-03-22,159.93
673,1993-03-29,159.89
673,1993-04-05,159.84
673,1993-04-12,159.87
673,1993-04-19,159.84
673,1993-04-26,159.8
673,1993-05-03,159.76
673,1993-05-10,159.75
673,1993-05-17,159.71
673,1993-05-24,159.67
673,1993-05-31,159.63
673,1993-06-07,159.61
673,1993-06-14,159.57
673,1993-06-21,159.61
673,1993-06-28,160.08
673,1993-07-05,159.89
673,1993-07-12,159.73
673,1993-07-19,159.82
673,1993-07-26,159.91
673,1993-08-02,160.16
673,1993-08-09,160
673,1993-08-16,159.96
673,1993-08-23,159.8
673,1993-08-30,159.76
673,1993-09-06,159.69
673,1993-09-13,159.69
673,1993-09-20,159.69
673,1993-09-27,159.68
673,1993-10-04,159.76
673,1993-10-11,159.97
673,1993-10-18,160.3
673,1993-10-25,160.27
673,1993-11-01,160.15
673,1993-11-08,160.03
673,1993-11-15,159.96
673,1993-11-22,160.06
673,1993-11-29,159.96
673,1993-12-06,159.87
673,1993-12-13,160.09
673,1993-12-20,161.18
673,1993-12-27,161.44
673,1994-01-03,161.64
673,1994-01-10,161.35
673,1994-01-17,161.07
673,1994-01-24,160.78
673,1994-01-31,161.24
673,1994-02-07,161.07
673,1994-02-14,160.8
673,1994-02-21,160.55
673,1994-02-28,160.62
673,1994-03-07,160.79
673,1994-03-14,160.64
673,1994-03-21,160.82
673,1994-03-28,160.85
673,1994-04-04,160.64
673,1994-04-11,160.88
673,1994-04-18,161.61
673,1994-04-25,161.03
673,1994-05-02,160.64
673,1994-05-09,160.41
673,1994-05-16,160.25
673,1994-05-23,160.36
673,1994-05-30,160.57
673,1994-06-06,160.54
673,1994-06-13,160.52
673,1994-06-20,160.31
673,1994-06-27,160.16
673,1994-07-04,160.19
673,1994-07-11,160.12
673,1994-07-18,159.97
673,1994-07-25,159.99
673,1994-08-01,159.92
673,1994-08-08,159.82
673,1994-08-15,159.84
673,1994-08-22,159.89
673,1994-08-29,159.84
673,1994-09-05,159.76
673,1994-09-12,159.87
673,1994-09-19,160.12
673,1994-09-26,160.03
673,1994-10-03,159.98
673,1994-10-10,160.03
673,1994-10-17,159.92
673,1994-10-24,159.81
673,1994-10-31,159.8
673,1994-11-07,159.77
673,1994-11-14,159.73
673,1994-11-21,159.75
673,1994-11-28,159.77
673,1994-12-05,159.74
673,1994-12-12,159.98
673,1994-12-19,160.04
673,1994-12-26,159.96
673,1995-01-02,160.25
673,1995-01-09,160.19
673,1995-01-16,160.61
673,1995-01-23,160.9
673,1995-01-30,161.61
673,1995-02-06,161.17
673,1995-02-13,160.92
673,1995-02-20,161.22
673,1995-02-27,161.22
673,1995-03-06,160.89
673,1995-03-13,160.65
673,1995-03-20,160.99
673,1995-03-27,161.12
